"Date","Open","High","Low","Close"
"02 Jun 2015","2384.7","2386","2325.8","2330.15"
"01 Jun 2015","2386.75","2403.7","2376.2","2382.80"
"29 May 2015","2362.9","2396.05","2357.45","2382.60"
"28 May 2015","2375.9","2391.85","2354.1","2370.15"
"27 May 2015","2363.3","2382.25","2357.2","2377.80"
"26 May 2015","2379.25","2381.4","2366.7","2372.25"
"25 May 2015","2407.4","2407.4","2365.6","2368.70"
"22 May 2015","2427.05","2427.05","2403.55","2409.85"
"21 May 2015","2423.5","2428","2401.95","2419.60"
"20 May 2015","2447.2","2448.8","2425.05","2431.40"
"19 May 2015","2434.85","2457.4","2422.8","2445.55"
"18 May 2015","2428.2","2441.8","2424","2436.50"
"15 May 2015","2445.3","2445.3","2410.4","2422.85"
"14 May 2015","2428.85","2452.1","2412.65","2448.70"
"13 May 2015","2436","2446.2","2394.65","2428.85"
"12 May 2015","2504.55","2504.55","2421.2","2426.00"
"11 May 2015","2464.4","2517.4","2462.7","2502.30"
"08 May 2015","2435.25","2446.85","2421.25","2435.60"
"07 May 2015","2423.5","2430.8","2398.5","2417.80"
"06 May 2015","2501.6","2517.85","2423.65","2430.35"
"05 May 2015","2443.55","2512.8","2428.85","2508.15"
"04 May 2015","2421.8","2453.05","2414.05","2441.75"
"30 Apr 2015","2420.4","2428.4","2393.95","2402.40"
"29 Apr 2015","2445.8","2460.6","2435.5","2443.25"
"28 Apr 2015","2452.3","2476.05","2441.3","2453.20"
"27 Apr 2015","2461.25","2468.4","2430.7","2454.05"
"24 Apr 2015","2496.35","2499.25","2445.85","2454.90"
"23 Apr 2015","2476.85","2514","2473.6","2495.15"
"22 Apr 2015","2446.3","2462.5","2423.65","2459.20"
"21 Apr 2015","2446.1","2476.5","2433.6","2446.25"
"20 Apr 2015","2491.6","2494.1","2430.95","2442.20"
"17 Apr 2015","2465.3","2510.5","2456.5","2488.55"
"16 Apr 2015","2471.4","2478.3","2443.55","2464.40"
"15 Apr 2015","2483.1","2492.5","2458.35","2467.00"
"13 Apr 2015","2487.75","2497.8","2467.7","2485.00"
"10 Apr 2015","2459.15","2486.8","2457.15","2483.00"
"09 Apr 2015","2444.45","2470.8","2428.8","2468.15"
"08 Apr 2015","2406.9","2437.1","2394.4","2431.25"
"07 Apr 2015","2347.2","2397.35","2338.6","2392.00"
"06 Apr 2015","2356.2","2356.35","2324.75","2339.95"
"01 Apr 2015","2324.75","2349.75","2316.85","2347.65"
"31 Mar 2015","2350.7","2362.85","2316.6","2324.45"
"30 Mar 2015","2311.35","2333.75","2287.85","2328.30"
"27 Mar 2015","2303.15","2314.2","2268.25","2292.85"
"26 Mar 2015","2329.75","2331.4","2282.5","2288.00"
"25 Mar 2015","2370.2","2371.25","2336.35","2343.35"
"24 Mar 2015","2372.5","2380.45","2355.35","2366.25"
"23 Mar 2015","2369.25","2376.55","2339.35","2373.50"
"20 Mar 2015","2390.6","2403.35","2357.8","2366.00"
"19 Mar 2015","2403.65","2423.75","2379","2388.35"
